Date,Day,Month,Year,Average,Volume
20-Sep-10,20,9,10,19.56,33302972
20-Sep-11,20,9,11,21.75,7330592
20-Sep-12,20,9,12,31.34,1223942
20-Sep-13,20,9,13,99.79,1173798
5-Nov-14,5,11,14,109.32,6619667
5-Nov-13,5,11,13,117.49,1729077
5-Nov-12,5,11,12,29.52,1387822
25-Jun-10,25,6,10,17.61,43299988
31-Jan-12,31,1,12,25.4,2629558
25-Jul-11,25,7,11,27.09,2885818
25-Jul-12,25,7,12,26.39,3184296
13-Jan-14,13,1,14,132.26,914220
25-Jul-14,25,7,14,104.07,398770
13-Jan-12,13,1,12,24.48,0
13-Jan-11,13,1,11,25.02,18921320
13-Jan-10,13,1,10,20.05,30094460
27-Apr-10,27,4,10,21.94,69117600
7-Jul-10,7,7,10,16.58,43534438
10-Apr-12,10,4,12,27.61,4577546
10-Apr-13,10,4,13,75.97,1080233
16-Dec-13,16,12,13,119.03,723025
5-Jul-11,5,7,11,27.15,3726092
10-Apr-14,10,4,14,100.61,1939163
25-Apr-13,25,4,13,76.31,306805
28-Feb-12,28,2,12,27.66,2931976
17-Jun-13,17,6,13,86.23,664080
28-Dec-10,28,12,10,24.0,6098984
6-Feb-13,6,2,13,82.02,754084
10-Jul-12,10,7,12,26.83,1334030
11-May-10,11,5,10,20.42,51294958
11-May-12,11,5,12,27.02,1525102
6-Feb-14,6,2,14,111.51,1153015
16-May-11,16,5,11,26.97,2804638
28-Jan-13,28,1,13,82.75,2216832
16-May-13,16,5,13,87.75,1022174
16-May-14,16,5,14,88.71,1059262
28-Jan-14,28,1,14,119.76,992295
6-Feb-12,6,2,12,26.43,1726372
21-May-13,21,5,13,91.1,609922
1-Jun-12,1,6,12,24.32,4587932
29-Dec-11,29,12,11,23.23,2115342
8-Jun-10,8,6,10,16.95,80143162
3-Nov-10,3,11,10,21.55,38641542
4-May-12,4,5,12,27.87,2330954
8-Jun-11,8,6,11,24.95,3970330
1-Dec-10,1,12,10,21.88,34561406
1-Dec-11,1,12,11,22.77,3631920
14-Jul-10,14,7,10,18.14,35714912
9-Nov-12,9,11,12,28.1,3543696
26-Feb-13,26,2,13,62.78,1091721
11-Oct-13,11,10,13,100.8,1351824
10-May-12,10,5,12,27.27,2038778
23-Jan-13,23,1,13,88.2,893508
23-Jan-14,23,1,14,125.65,852926
9-Nov-11,9,11,11,22.6,8246944
14-Feb-14,14,2,14,122.13,1578653
26-Feb-14,26,2,14,126.97,982675
10-Nov-14,10,11,14,104.27,1404947
5-May-10,5,5,10,20.85,62473780
4-May-11,4,5,11,27.62,4299400
10-Nov-10,10,11,10,22.29,38158906
10-Nov-11,10,11,11,22.63,5375408
10-Jan-11,10,1,11,24.36,22675002
30-Jan-14,30,1,14,121.39,987977
10-Dec-13,10,12,13,120.42,972628
10-Dec-12,10,12,12,72.86,448407
30-Jan-12,30,1,12,25.14,1861436
30-Jan-13,30,1,13,78.87,1053722
6-Aug-10,6,8,10,18.89,39221794
12-Oct-10,12,10,10,20.53,24506452
18-Dec-13,18,12,13,118.72,820594
18-Dec-12,18,12,12,74.09,687092
3-Mar-14,3,3,14,124.9,1624836
8-Sep-14,8,9,14,121.37,898050
8-Sep-11,8,9,11,21.14,7461270
3-Mar-11,3,3,11,26.71,4501334
18-Oct-11,18,10,11,21.74,7654328
15-Dec-11,15,12,11,21.88,3811362
6-Jan-10,6,1,10,19.87,21249656
6-Jan-11,6,1,11,24.65,18370916
6-Jan-12,6,1,12,24.04,4357862
7-May-10,7,5,10,19.08,108063942
6-Jan-14,6,1,14,132.16,1843793
4-Oct-13,4,10,13,100.15,794658
6-Jul-10,6,7,10,16.14,51814724
5-Feb-14,5,2,14,109.28,3854306
4-Oct-12,4,10,12,31.44,874526
5-Feb-10,5,2,10,17.28,113061760
26-Mar-13,26,3,13,73.44,273352
8-Aug-11,8,8,11,19.88,23451538
26-Apr-10,26,4,10,22.67,27261530
8-Aug-12,8,8,12,28.84,804520
4-Aug-14,4,8,14,98.53,839381
11-Oct-12,11,10,12,30.54,1521190
12-Sep-13,12,9,13,100.06,1678425
12-Sep-12,12,9,12,30.5,892620
4-Aug-10,4,8,10,19.16,29503164
12-Sep-14,12,9,14,124.32,894747
17-Feb-11,17,2,11,27.12,3523698
14-Feb-13,14,2,13,72.86,2254826
13-Aug-10,13,8,10,17.72,28947654
13-Aug-13,13,8,13,102.57,1014283
13-Aug-12,13,8,12,29.0,1037346
18-Jun-12,18,6,12,26.51,2344520
13-Aug-14,13,8,14,113.05,1641253
18-Jun-10,18,6,10,19.02,21799928
21-Dec-09,21,12,9,19.02,24419714
21-Mar-13,21,3,13,71.15,356934
10-Jan-13,10,1,13,84.87,903736
21-Mar-11,21,3,11,25.51,4043940
14-Feb-12,14,2,12,26.71,3397444
27-Sep-12,27,9,12,30.75,995894
10-Jan-14,10,1,14,133.44,540536
21-Mar-14,21,3,14,110.27,2003365
12-Feb-10,12,2,10,17.86,0
28-May-10,28,5,10,18.12,0
28-May-13,28,5,13,87.77,531946
12-Feb-13,12,2,13,78.22,937083
12-Feb-14,12,2,14,113.23,1293640
28-May-14,28,5,14,94.27,1468855
22-Jun-12,22,6,12,26.15,1163964
7-Jan-10,7,1,10,19.91,22852212
3-Jul-12,3,7,12,27.6,831438
13-Oct-14,13,10,14,106.93,1011134
7-Jul-14,7,7,14,115.05,731767
24-Feb-12,24,2,12,27.49,1723688
7-Jul-11,7,7,11,27.78,3143588
24-Feb-14,24,2,14,125.61,1066440
30-Nov-12,30,11,12,29.66,13514398
20-Dec-11,20,12,11,22.32,4039324
20-Dec-12,20,12,12,78.37,564191
20-Dec-13,20,12,13,124.97,1830988
30-Jun-14,30,6,14,113.21,929049
26-May-11,26,5,11,26.52,3407704
9-Mar-11,9,3,11,26.41,4304036
17-Dec-09,17,12,9,18.61,33707692
28-Dec-09,28,12,9,19.57,13116778
4-Jan-13,4,1,13,81.98,1304700
8-Jan-10,8,1,10,20.04,20513336
23-Dec-11,23,12,11,24.0,0
23-Dec-10,23,12,10,23.94,0
23-Dec-13,23,12,13,129.66,1166895
31-Aug-12,31,8,12,29.22,2271036
1-Sep-11,1,9,11,22.0,11451086
26-Mar-12,26,3,12,29.34,2523816
21-Oct-14,21,10,14,119.27,756049
26-Mar-10,26,3,10,20.93,28684332
21-Oct-11,21,10,11,22.48,4593124
21-Oct-10,21,10,10,21.07,39106534
26-Mar-14,26,3,14,105.82,1361384
24-May-12,24,5,12,25.68,2519212
3-Oct-11,3,10,11,18.44,15222248
3-Oct-12,3,10,12,31.0,1398932
15-Jul-14,15,7,14,105.38,975065
3-Oct-14,3,10,14,116.71,864242
15-Jul-11,15,7,11,26.22,4644704
