Date,Day,Month,Year,Average,Volume
13-Jan-11,13,1,11,25.02,18921320
13-Jan-10,13,1,10,20.05,30094460
27-Apr-10,27,4,10,21.94,69117600
7-Jul-10,7,7,10,16.58,43534438
10-Apr-12,10,4,12,27.61,4577546
10-Apr-13,10,4,13,37.16,12309068
16-Dec-13,16,12,13,47.86,12873750
5-Jul-11,5,7,11,27.15,3726092
10-Apr-14,10,4,14,51.52,11110218
25-Apr-13,25,4,13,37.37,10180544
28-Feb-12,28,2,12,27.66,2931976
17-Jun-13,17,6,13,40.01,11033194
28-Dec-10,28,12,10,24.0,6098984
6-Feb-13,6,2,13,33.72,11905698
10-Jul-12,10,7,12,26.83,1334030
11-May-10,11,5,10,20.42,51294958
11-May-12,11,5,12,27.02,1525102
6-Feb-14,6,2,14,46.65,14712328
16-May-11,16,5,11,26.97,2804638
28-Jan-13,28,1,13,33.39,9127334
16-May-13,16,5,13,40.74,8871938
16-May-14,16,5,14,52.83,9226010
28-Jan-14,28,1,14,47.87,13409922
6-Feb-12,6,2,12,26.43,1726372
21-May-13,21,5,13,41.48,8308484
1-Jun-12,1,6,12,24.32,4587932
29-Dec-11,29,12,11,23.23,2115342
8-Jun-10,8,6,10,16.95,80143162
3-Nov-10,3,11,10,21.55,38641542
4-May-12,4,5,12,27.87,2330954
8-Jun-11,8,6,11,24.95,3970330
1-Dec-10,1,12,10,21.88,34561406
1-Dec-11,1,12,11,22.77,3631920
14-Jul-10,14,7,10,18.14,35714912
9-Nov-12,9,11,12,28.1,3543696
26-Feb-13,26,2,13,33.15,29441556
11-Oct-13,11,10,13,42.99,12343322
10-May-12,10,5,12,27.27,2038778
23-Jan-13,23,1,13,33.02,9644006
23-Jan-14,23,1,14,50.2,13491352
9-Nov-11,9,11,11,22.6,8246944
14-Feb-14,14,2,14,50.37,8551240
26-Feb-14,26,2,14,51.17,12653532
10-Nov-14,10,11,14,62.63,3171840
5-May-10,5,5,10,20.85,62473780
4-May-11,4,5,11,27.62,4299400
10-Nov-10,10,11,10,22.29,38158906
10-Nov-11,10,11,11,22.63,5375408
10-Jan-11,10,1,11,24.36,22675002
30-Jan-14,30,1,14,48.07,14098670
10-Dec-13,10,12,13,48.79,10677454
10-Dec-12,10,12,12,29.8,13986846
30-Jan-12,30,1,12,25.14,1861436
30-Jan-13,30,1,13,33.54,14225496
6-Aug-10,6,8,10,18.89,39221794
12-Oct-10,12,10,10,20.53,24506452
18-Dec-13,18,12,13,48.19,19449330
18-Dec-12,18,12,12,30.75,17137668
3-Mar-14,3,3,14,51.02,17805108
8-Sep-14,8,9,14,60.63,8168618
8-Sep-11,8,9,11,21.14,7461270
3-Mar-11,3,3,11,26.71,4501334
18-Oct-11,18,10,11,21.74,7654328
15-Dec-11,15,12,11,21.88,3811362
6-Jan-10,6,1,10,19.87,21249656
6-Jan-11,6,1,11,24.65,18370916
6-Jan-12,6,1,12,24.04,4357862
7-May-10,7,5,10,19.08,108063942
6-Jan-14,6,1,14,50.26,14476490
4-Oct-13,4,10,13,42.4,12067386
6-Jul-10,6,7,10,16.14,51814724
5-Feb-14,5,2,14,45.76,19354332
4-Oct-12,4,10,12,31.44,874526
5-Feb-10,5,2,10,17.28,113061760
26-Mar-13,26,3,13,36.21,9236544
8-Aug-11,8,8,11,19.88,23451538
26-Apr-10,26,4,10,22.67,27261530
8-Aug-12,8,8,12,28.84,804520
4-Aug-14,4,8,14,56.31,7885444
11-Oct-12,11,10,12,30.54,1521190
12-Sep-13,12,9,13,42.51,9543666
12-Sep-12,12,9,12,30.5,892620
4-Aug-10,4,8,10,19.16,29503164
12-Sep-14,12,9,14,59.88,10352510
17-Feb-11,17,2,11,27.12,3523698
14-Feb-13,14,2,13,34.22,8391304
13-Aug-10,13,8,10,17.72,28947654
13-Aug-13,13,8,13,42.7,7445484
13-Aug-12,13,8,12,29.0,1037346
18-Jun-12,18,6,12,26.51,2344520
13-Aug-14,13,8,14,57.02,6530900
18-Jun-10,18,6,10,19.02,21799928
21-Dec-09,21,12,9,19.02,24419714
21-Mar-13,21,3,13,35.64,12750608
10-Jan-13,10,1,13,31.93,14133356
21-Mar-11,21,3,11,25.51,4043940
14-Feb-12,14,2,12,26.71,3397444
27-Sep-12,27,9,12,30.75,995894
10-Jan-14,10,1,14,50.77,8989082
21-Mar-14,21,3,14,52.71,12398884
12-Feb-10,12,2,10,17.86,0
28-May-10,28,5,10,18.12,0
28-May-13,28,5,13,41.24,13462456
12-Feb-13,12,2,13,34.2,9504646
12-Feb-14,12,2,14,49.69,11985074
28-May-14,28,5,14,54.97,6649446
22-Jun-12,22,6,12,26.15,1163964
7-Jan-10,7,1,10,19.91,22852212
3-Jul-12,3,7,12,27.6,831438
13-Oct-14,13,10,14,54.11,18051166
7-Jul-14,7,7,14,59.01,5448920
24-Feb-12,24,2,12,27.49,1723688
7-Jul-11,7,7,11,27.78,3143588
24-Feb-14,24,2,14,51.12,8802114
30-Nov-12,30,11,12,29.66,13514398
20-Dec-11,20,12,11,22.32,4039324
20-Dec-12,20,12,12,30.74,10846248
20-Dec-13,20,12,13,49.44,11744042
30-Jun-14,30,6,14,57.93,4164544
26-May-11,26,5,11,26.52,3407704
9-Mar-11,9,3,11,26.41,4304036
17-Dec-09,17,12,9,18.61,33707692
28-Dec-09,28,12,9,19.57,13116778
4-Jan-13,4,1,13,31.69,10712510
8-Jan-10,8,1,10,20.04,20513336
23-Dec-11,23,12,11,24.0,0
23-Dec-10,23,12,10,23.94,0
23-Dec-13,23,12,13,50.09,7956348
31-Aug-12,31,8,12,29.22,2271036
1-Sep-11,1,9,11,22.0,11451086
26-Mar-12,26,3,12,29.34,2523816
21-Oct-14,21,10,14,56.25,13807116
26-Mar-10,26,3,10,20.93,28684332
21-Oct-11,21,10,11,22.48,4593124
21-Oct-10,21,10,10,21.07,39106534
26-Mar-14,26,3,14,52.15,8998106
24-May-12,24,5,12,25.68,2519212
3-Oct-11,3,10,11,18.44,15222248
3-Oct-12,3,10,12,31.0,1398932
15-Jul-14,15,7,14,58.82,6903396
3-Oct-14,3,10,14,58.28,7714112
15-Jul-11,15,7,11,26.22,4644704
15-Jul-10,15,7,10,18.1,43874784
2-Mar-12,2,3,12,27.7,2560798
14-Feb-11,14,2,11,26.86,2134692
21-Apr-10,21,4,10,22.32,31331788
21-Jun-10,21,6,10,19.15,45235210
21-Jul-10,21,7,10,17.62,51233520
24-May-10,24,5,10,17.81,59948224
24-Jul-13,24,7,13,42.62,12872736
24-Oct-13,24,10,13,45.77,9858488
17-Oct-12,17,10,12,31.4,1470634
17-Oct-13,17,10,13,44.38,9598024
19-Sep-14,19,9,14,61.39,8483756
17-Sep-14,17,9,14,60.63,12096134
24-Jul-14,24,7,14,59.61,3928174
25-Nov-14,25,11,14,64.89,5337232
21-Feb-12,21,2,12,27.36,1518154
26-Sep-14,26,9,14,59.09,6093736
26-Sep-12,26,9,12,30.47,1479836
26-Sep-13,26,9,13,43.06,8020972
25-Nov-13,25,11,13,48.8,9719134
31-Mar-11,31,3,11,26.68,4492278
29-Jun-10,29,6,10,16.72,69761566
29-Mar-10,29,3,10,21.09,20598504
15-Oct-14,15,10,14,51.81,31947018
15-May-12,15,5,12,26.28,2175684
15-Oct-12,15,10,12,30.41,1497396
15-Oct-13,15,10,13,43.32,15274820
15-Oct-10,15,10,10,20.94,39619220
1-Jun-11,1,6,11,26.78,6204220
28-Dec-11,28,12,11,23.23,2911770
28-Dec-12,28,12,12,29.34,14353246
14-Nov-13,14,11,13,47.75,11679824
14-Nov-14,14,11,14,62.93,3319358
19-Dec-11,19,12,11,21.63,4442746
24-Jun-10,24,6,10,17.72,56241674
16-Mar-10,16,3,10,20.59,29191290
29-Mar-12,29,3,12,28.8,2575092
7-Feb-13,7,2,13,33.72,18323238
10-May-13,10,5,13,39.52,7359458
7-Feb-11,7,2,11,26.31,3546538
10-May-11,10,5,11,27.79,2148432
22-Mar-12,22,3,12,28.54,3987520
22-Mar-13,22,3,13,35.89,7597150
25-Oct-10,25,10,10,21.38,26521798
7-Feb-14,7,2,14,47.91,14895394
15-Sep-14,15,9,14,59.55,6769428
10-Sep-12,10,9,12,30.34,1106630
9-Apr-13,9,4,13,36.53,10699472
2-Apr-13,2,4,13,36.61,12428242
6-Jul-12,6,7,12,26.98,2291554
9-Apr-14,9,4,14,52.18,4877034
21-Sep-11,21,9,11,20.88,10195854
10-Sep-14,10,9,14,59.98,8441536
27-Nov-09,27,11,9,18.18,40957062
28-Aug-14,28,8,14,60.13,5899108
28-Aug-13,28,8,13,39.83,12176678
28-Aug-12,28,8,12,29.3,1221854
22-Nov-13,22,11,13,48.52,8072282
27-Dec-12,27,12,12,29.69,18347392
21-Apr-14,21,4,14,52.38,7268714
25-Mar-14,25,3,14,52.25,9286076
25-Mar-13,25,3,13,36.01,16860286
25-Mar-11,25,3,11,26.16,3319708
21-Apr-11,21,4,11,27.07,0
30-Jun-10,30,6,10,16.3,46107406
8-Dec-09,8,12,9,18.39,43861670
11-Nov-10,11,11,10,22.17,25967958
11-Dec-12,11,12,12,30.21,17281120
11-Dec-13,11,12,13,48.14,15191426
29-Sep-10,29,9,10,19.79,28431988
27-Feb-12,27,2,12,27.38,2821198
27-Feb-13,27,2,13,33.73,17719882
27-Feb-14,27,2,14,51.27,10609748
16-Aug-10,16,8,10,17.54,27586606
24-Jan-14,24,1,14,48.77,26479596
24-Jan-11,24,1,11,25.12,17797094
3-Mar-10,3,3,10,19.34,27531820
24-Jan-13,24,1,13,33.11,14530782
24-Jan-12,24,1,12,25.23,2669732
8-Sep-10,8,9,10,18.25,28574184
10-Sep-10,10,9,10,18.59,15998964
29-Apr-11,29,4,11,28.12,2251082
21-Jan-10,21,1,10,19.57,73648940
2-Jan-13,2,1,13,31.42,13855160
16-Aug-11,16,8,11,21.27,7230158
2-Aug-12,2,8,12,27.4,2117556
2-Aug-13,2,8,13,43.34,7448962
10-Jun-14,10,6,14,57.24,3832382
2-Aug-11,2,8,11,24.34,7889328
10-Jun-13,10,6,13,40.32,14235898
10-Jun-10,10,6,10,17.78,53382704
10-Jun-11,10,6,11,24.76,4028048
23-Mar-11,23,3,11,25.33,2975454
20-May-13,20,5,13,41.39,7267466
23-Mar-12,23,3,12,28.61,1939972
4-Jun-14,4,6,14,55.74,4460634
3-Jul-13,3,7,13,38.63,5584624
3-Jun-14,3,6,14,55.63,4993028
3-Jun-13,3,6,13,39.8,23720098
3-Jul-14,3,7,14,59.23,3005438
3-Jun-11,3,6,11,25.71,5312228
3-Jun-10,3,6,10,18.49,46928234
1-Jul-13,1,7,13,38.73,54779182
13-Nov-13,13,11,13,46.89,10246970
