Date,Day,Month,Year,Average,Volume
11-May-12,11,5,12,81.09,99886332
6-Feb-14,6,2,14,73.0,64497223
16-May-11,16,5,11,48.08,112535374
28-Jan-13,28,1,13,63.45,196378931
16-May-13,16,5,13,61.23,150866478
16-May-14,16,5,14,84.61,69091834
28-Jan-14,28,1,14,72.58,266833581
6-Feb-12,6,2,12,65.91,62420596
21-May-13,21,5,13,62.77,114074240
1-Jun-12,1,6,12,80.83,130245094
29-Dec-11,29,12,11,57.67,54039041
8-Jun-10,8,6,10,35.79,250192019
3-Nov-10,3,11,10,44.49,127086848
4-May-12,4,5,12,81.64,132497421
8-Jun-11,8,6,11,47.48,83471577
1-Dec-10,1,12,10,45.16,115437672
1-Dec-11,1,12,11,55.01,96794838
14-Jul-10,14,7,10,35.96,203042784
9-Nov-12,9,11,12,77.72,232476496
26-Feb-13,26,2,13,63.64,125374074
11-Oct-13,11,10,13,69.96,66934938
10-May-12,10,5,12,81.76,83317752
23-Jan-13,23,1,13,72.95,215375853
23-Jan-14,23,1,14,78.83,100978346
9-Nov-11,9,11,11,56.69,139670930
14-Feb-14,14,2,14,77.63,68468036
26-Feb-14,26,2,14,74.34,69131286
10-Nov-14,10,11,14,108.96,27195547
5-May-10,5,5,10,36.28,220775786
4-May-11,4,5,11,49.88,97312229
10-Nov-10,10,11,10,45.25,96056373
10-Nov-11,10,11,11,55.77,186245269
10-Jan-11,10,1,11,48.63,112139482
30-Jan-14,30,1,14,71.63,169762789
10-Dec-13,10,12,13,80.65,69567610
10-Dec-12,10,12,12,75.53,157620575
30-Jan-12,30,1,12,64.22,94832073
30-Jan-13,30,1,13,65.39,104288317
6-Aug-10,6,8,10,37.11,111253310
12-Oct-10,12,10,10,42.36,139634663
18-Dec-13,18,12,13,78.16,141465807
18-Dec-12,18,12,12,75.5,156417023
3-Mar-14,3,3,14,75.16,59784494
8-Sep-14,8,9,14,98.76,46356742
8-Sep-11,8,9,11,54.91,104039460
3-Mar-11,3,3,11,51.16,125196764
18-Oct-11,18,10,11,60.17,220400096
15-Dec-11,15,12,11,54.44,64112125
6-Jan-10,6,1,10,30.41,138039594
6-Jan-11,6,1,11,47.74,75106626
6-Jan-12,6,1,12,60.15,79596412
7-May-10,7,5,10,33.98,419004292
6-Jan-14,6,1,14,77.21,103359151
4-Oct-13,4,10,13,68.93,64717380
6-Jul-10,6,7,10,35.66,153808676
5-Feb-14,5,2,14,72.88,82322156
4-Oct-12,4,10,12,95.64,92688813
5-Feb-10,5,2,10,27.68,212576350
26-Mar-13,26,3,13,66.18,73573423
8-Aug-11,8,8,11,51.28,285951204
26-Apr-10,26,4,10,38.64,119767011
8-Aug-12,8,8,12,88.58,61176080
4-Aug-14,4,8,14,95.93,39958144
11-Oct-12,11,10,12,91.07,136520097
12-Sep-13,12,9,13,67.23,101012471
12-Sep-12,12,9,12,95.09,178054492
4-Aug-10,4,8,10,37.52,105139076
12-Sep-14,12,9,14,101.53,64096903
17-Feb-11,17,2,11,51.16,132643504
14-Feb-13,14,2,13,66.67,88876501
13-Aug-10,13,8,10,35.77,88716635
13-Aug-13,13,8,13,68.69,220484936
13-Aug-12,13,8,12,89.53,69707463
18-Jun-12,18,6,12,82.68,110102790
13-Aug-14,13,8,14,96.67,31916439
18-Jun-10,18,6,10,39.03,196154945
21-Dec-09,21,12,9,28.21,153093108
21-Mar-13,21,3,13,64.68,95813410
10-Jan-13,10,1,13,74.87,150285296
21-Mar-11,21,3,11,48.22,102347560
14-Feb-12,14,2,12,72.34,115483011
27-Sep-12,27,9,12,96.0,148522031
10-Jan-14,10,1,14,76.59,76320664
21-Mar-14,21,3,14,75.89,93612169
12-Feb-10,12,2,10,28.42,163866906
28-May-10,28,5,10,36.75,203903217
28-May-13,28,5,13,63.69,96536188
12-Feb-13,12,2,13,67.77,152262712
12-Feb-14,12,2,14,76.63,77127064
28-May-14,28,5,14,89.42,78921885
22-Jun-12,22,6,12,82.81,71186311
7-Jan-10,7,1,10,30.12,119282324
3-Jul-12,3,7,12,85.3,60428165
13-Oct-14,13,10,14,100.68,53583368
7-Jul-14,7,7,14,95.05,56467939
24-Feb-12,24,2,12,74.41,103819905
7-Jul-11,7,7,11,50.85,99915319
24-Feb-14,24,2,14,75.11,72364950
30-Nov-12,30,11,12,83.69,97824986
20-Dec-11,20,12,11,55.97,84350728
20-Dec-12,20,12,12,75.03,120421798
20-Dec-13,20,12,13,78.24,109103435
30-Jun-14,30,6,14,92.71,49589028
26-May-11,26,5,11,47.94,55673751
9-Mar-11,9,3,11,50.45,113349033
17-Dec-09,17,12,9,27.58,97209056
28-Dec-09,28,12,9,30.25,161141050
4-Jan-13,4,1,13,76.02,148581860
8-Jan-10,8,1,10,30.12,111969081
23-Dec-11,23,12,11,57.36,67401964
23-Dec-10,23,12,10,46.32,55875176
23-Dec-13,23,12,13,81.13,125326831
31-Aug-12,31,8,12,94.94,84579607
1-Sep-11,1,9,11,54.82,85930705
26-Mar-12,26,3,12,86.04,148934219
21-Oct-14,21,10,14,102.44,94623904
26-Mar-10,26,3,10,32.87,160218135
21-Oct-11,21,10,11,56.46,155310512
21-Oct-10,21,10,10,44.41,137864321
26-Mar-14,26,3,14,77.65,74942224
24-May-12,24,5,12,81.39,124049506
3-Oct-11,3,10,11,53.95,167269011
3-Oct-12,3,10,12,95.39,106069719
15-Jul-14,15,7,14,96.0,45696176
3-Oct-14,3,10,14,99.58,43469585
15-Jul-11,15,7,11,51.8,121116338
15-Jul-10,15,7,10,35.85,206215849
2-Mar-12,2,3,12,77.81,107927589
14-Feb-11,14,2,11,51.15,77603491
21-Apr-10,21,4,10,36.93,245597800
21-Jun-10,21,6,10,39.13,194122453
21-Jul-10,21,7,10,37.09,296417422
24-May-10,24,5,10,35.4,188561359
24-Jul-13,24,7,13,62.83,148013824
24-Oct-13,24,10,13,75.42,96191095
17-Oct-12,17,10,12,92.51,97327643
17-Oct-13,17,10,13,71.75,63398335
19-Sep-14,19,9,14,101.62,70902406
17-Sep-14,17,9,14,101.31,60926498
24-Jul-14,24,7,14,96.95,45728843
25-Nov-14,25,11,14,118.47,68840440
21-Feb-12,21,2,12,72.88,151396399
26-Sep-14,26,9,14,99.61,62370501
26-Sep-12,26,9,12,95.28,144175906
26-Sep-13,26,9,13,69.45,59305183
25-Nov-13,25,11,13,74.7,57348403
31-Mar-11,31,3,11,49.67,68592006
29-Jun-10,29,6,10,37.11,283336130
29-Mar-10,29,3,10,33.25,135185785
